DATE,ASPUS_M
1/1/1962,19300
2/1/1962,19300
3/1/1962,19300
4/1/1962,19300
5/1/1962,19300
6/1/1962,19300
7/1/1962,19300
8/1/1962,19300
9/1/1962,19300
10/1/1962,19300
11/1/1962,19300
12/1/1962,19300
1/1/1963,19300
2/1/1963,19333.33333
3/1/1963,19366.66667
4/1/1963,19400
5/1/1963,19333.33333
6/1/1963,19266.66667
7/1/1963,19200
8/1/1963,19333.33333
9/1/1963,19466.66667
10/1/1963,19600
11/1/1963,19600
12/1/1963,19600
1/1/1964,19600
2/1/1964,19800
3/1/1964,20000
4/1/1964,20200
5/1/1964,20300
6/1/1964,20400
7/1/1964,20500
8/1/1964,20633.33333
9/1/1964,20766.66667
10/1/1964,20900
11/1/1964,21100
12/1/1964,21300
1/1/1965,21500
2/1/1965,21333.33333
3/1/1965,21166.66667
4/1/1965,21000
5/1/1965,21200
6/1/1965,21400
7/1/1965,21600
8/1/1965,21633.33333
9/1/1965,21666.66667
10/1/1965,21700
11/1/1965,22033.33333
12/1/1965,22366.66667
1/1/1966,22700
2/1/1966,22866.66667
3/1/1966,23033.33333
4/1/1966,23200
5/1/1966,23133.33333
6/1/1966,23066.66667
7/1/1966,23000
8/1/1966,22933.33333
9/1/1966,22866.66667
10/1/1966,22800
11/1/1966,23200
12/1/1966,23600
1/1/1967,24000
2/1/1967,24066.66667
3/1/1967,24133.33333
4/1/1967,24200
5/1/1967,24100
6/1/1967,24000
7/1/1967,23900
8/1/1967,24066.66667
9/1/1967,24233.33333
10/1/1967,24400
11/1/1967,24733.33333
12/1/1967,25066.66667
1/1/1968,25400
2/1/1968,25833.33333
3/1/1968,26266.66667
4/1/1968,26700
5/1/1968,26666.66667
6/1/1968,26633.33333
7/1/1968,26600
8/1/1968,26733.33333
9/1/1968,26866.66667
10/1/1968,27000
11/1/1968,27200
12/1/1968,27400
1/1/1969,27600
2/1/1969,27766.66667
3/1/1969,27933.33333
4/1/1969,28100
5/1/1969,28100
6/1/1969,28100
7/1/1969,28100
8/1/1969,27766.66667
9/1/1969,27433.33333
10/1/1969,27100
11/1/1969,27066.66667
12/1/1969,27033.33333
1/1/1970,27000
2/1/1970,27100
3/1/1970,27200
4/1/1970,27300
5/1/1970,26866.66667
6/1/1970,26433.33333
7/1/1970,26000
8/1/1970,26100
9/1/1970,26200
10/1/1970,26300
11/1/1970,26633.33333
12/1/1970,26966.66667
1/1/1971,27300
2/1/1971,27733.33333
3/1/1971,28166.66667
4/1/1971,28600
5/1/1971,28500
6/1/1971,28400
7/1/1971,28300
8/1/1971,28266.66667
9/1/1971,28233.33333
10/1/1971,28200
11/1/1971,28466.66667
12/1/1971,28733.33333
1/1/1972,29000
2/1/1972,29133.33333
3/1/1972,29266.66667
4/1/1972,29400
5/1/1972,29700
6/1/1972,30000
7/1/1972,30300
8/1/1972,30733.33333
9/1/1972,31166.66667
10/1/1972,31600
11/1/1972,32000
12/1/1972,32400
1/1/1973,32800
2/1/1973,33566.66667
3/1/1973,34333.33333
4/1/1973,35100
5/1/1973,35366.66667
6/1/1973,35633.33333
7/1/1973,35900
8/1/1973,36133.33333
9/1/1973,36366.66667
10/1/1973,36600
11/1/1973,37066.66667
12/1/1973,37533.33333
1/1/1974,38000
2/1/1974,38200
3/1/1974,38400
4/1/1974,38600
5/1/1974,38733.33333
6/1/1974,38866.66667
7/1/1974,39000
8/1/1974,39100
9/1/1974,39200
10/1/1974,39300
11/1/1974,39833.33333
12/1/1974,40366.66667
1/1/1975,40900
2/1/1975,41466.66667
3/1/1975,42033.33333
4/1/1975,42600
5/1/1975,42466.66667
6/1/1975,42333.33333
7/1/1975,42200
8/1/1975,42933.33333
9/1/1975,43666.66667
10/1/1975,44400
11/1/1975,44933.33333
12/1/1975,45466.66667
1/1/1976,46000
2/1/1976,46600
3/1/1976,47200
4/1/1976,47800
5/1/1976,47900
6/1/1976,48000
7/1/1976,48100
8/1/1976,48833.33333
9/1/1976,49566.66667
10/1/1976,50300
11/1/1976,50733.33333
12/1/1976,51166.66667
1/1/1977,51600
2/1/1977,52500
3/1/1977,53400
4/1/1977,54300
5/1/1977,54200
6/1/1977,54100
7/1/1977,54000
8/1/1977,55166.66667
9/1/1977,56333.33333
10/1/1977,57500
11/1/1977,58100
12/1/1977,58700
1/1/1978,59300
2/1/1978,60066.66667
3/1/1978,60833.33333
4/1/1978,61600
5/1/1978,62233.33333
6/1/1978,62866.66667
7/1/1978,63500
8/1/1978,64466.66667
9/1/1978,65433.33333
10/1/1978,66400
11/1/1978,67033.33333
12/1/1978,67666.66667
1/1/1979,68300
2/1/1979,69666.66667
3/1/1979,71033.33333
4/1/1979,72400
5/1/1979,73000
6/1/1979,73600
7/1/1979,74200
8/1/1979,73700
9/1/1979,73200
10/1/1979,72700
11/1/1979,73000
12/1/1979,73300
1/1/1980,73600
2/1/1980,73866.66667
3/1/1980,74133.33333
4/1/1980,74400
5/1/1980,75433.33333
6/1/1980,76466.66667
7/1/1980,77500
8/1/1980,78333.33333
9/1/1980,79166.66667
10/1/1980,80000
11/1/1980,80300
12/1/1980,80600
1/1/1981,80900
2/1/1981,82033.33333
3/1/1981,83166.66667
4/1/1981,84300
5/1/1981,84133.33333
6/1/1981,83966.66667
7/1/1981,83800
8/1/1981,83766.66667
9/1/1981,83733.33333
10/1/1981,83700
11/1/1981,82866.66667
12/1/1981,82033.33333
1/1/1982,81200
2/1/1982,82700
3/1/1982,84200
4/1/1982,85700
5/1/1982,85100
6/1/1982,84500
7/1/1982,83900
8/1/1982,84133.33333
9/1/1982,84366.66667
10/1/1982,84600
11/1/1982,85300
12/1/1982,86000
1/1/1983,86700
2/1/1983,87500
3/1/1983,88300
4/1/1983,89100
5/1/1983,90233.33333
6/1/1983,91366.66667
7/1/1983,92500
8/1/1983,91933.33333
9/1/1983,91366.66667
10/1/1983,90800
11/1/1983,92100
12/1/1983,93400
1/1/1984,94700
2/1/1984,96200
3/1/1984,97700
4/1/1984,99200
5/1/1984,98966.66667
6/1/1984,98733.33333
7/1/1984,98500
8/1/1984,98266.66667
9/1/1984,98033.33333
10/1/1984,97800
11/1/1984,98033.33333
12/1/1984,98266.66667
1/1/1985,98500
2/1/1985,99166.66667
3/1/1985,99833.33333
4/1/1985,100500
5/1/1985,100500
6/1/1985,100500
7/1/1985,100500
8/1/1985,101600
9/1/1985,102700
10/1/1985,103800
11/1/1985,104633.3333
12/1/1985,105466.6667
1/1/1986,106300
2/1/1986,108200
3/1/1986,110100
4/1/1986,112000
5/1/1986,112800
6/1/1986,113600
7/1/1986,114400
8/1/1986,114800
9/1/1986,115200
10/1/1986,115600
11/1/1986,117333.3333
12/1/1986,119066.6667
1/1/1987,120800
2/1/1987,122566.6667
3/1/1987,124333.3333
4/1/1987,126100
5/1/1987,127366.6667
6/1/1987,128633.3333
7/1/1987,129900
8/1/1987,131100
9/1/1987,132300
10/1/1987,133500
11/1/1987,134966.6667
12/1/1987,136433.3333
1/1/1988,137900
2/1/1988,136866.6667
3/1/1988,135833.3333
4/1/1988,134800
5/1/1988,137033.3333
6/1/1988,139266.6667
7/1/1988,141500
8/1/1988,141133.3333
9/1/1988,140766.6667
10/1/1988,140400
11/1/1988,141700
12/1/1988,143000
1/1/1989,144300
2/1/1989,145133.3333
3/1/1989,145966.6667
4/1/1989,146800
5/1/1989,147933.3333
6/1/1989,149066.6667
7/1/1989,150200
8/1/1989,150533.3333
9/1/1989,150866.6667
10/1/1989,151200
11/1/1989,150633.3333
12/1/1989,150066.6667
1/1/1990,149500
2/1/1990,150066.6667
3/1/1990,150633.3333
4/1/1990,151200
5/1/1990,149300
6/1/1990,147400
7/1/1990,145500
8/1/1990,147033.3333
9/1/1990,148566.6667
10/1/1990,150100
11/1/1990,150433.3333
12/1/1990,150766.6667
1/1/1991,151100
2/1/1991,150133.3333
3/1/1991,149166.6667
4/1/1991,148200
5/1/1991,147266.6667
6/1/1991,146333.3333
7/1/1991,145400
8/1/1991,145066.6667
9/1/1991,144733.3333
10/1/1991,144400
11/1/1991,144433.3333
12/1/1991,144466.6667
1/1/1992,144500
2/1/1992,144766.6667
3/1/1992,145033.3333
4/1/1992,145300
5/1/1992,144100
6/1/1992,142900
7/1/1992,141700
8/1/1992,143533.3333
9/1/1992,145366.6667
10/1/1992,147200
11/1/1992,146366.6667
12/1/1992,145533.3333
1/1/1993,144700
2/1/1993,146100
3/1/1993,147500
4/1/1993,148900
5/1/1993,148600
6/1/1993,148300
7/1/1993,148000
8/1/1993,148100
9/1/1993,148200
10/1/1993,148300
11/1/1993,150066.6667
12/1/1993,151833.3333
1/1/1994,153600
2/1/1994,153800
3/1/1994,154000
4/1/1994,154200
5/1/1994,153733.3333
6/1/1994,153266.6667
7/1/1994,152800
8/1/1994,153900
9/1/1994,155000
10/1/1994,156100
11/1/1994,155233.3333
12/1/1994,154366.6667
1/1/1995,153500
2/1/1995,155300
3/1/1995,157100
4/1/1995,158900
5/1/1995,158500
6/1/1995,158100
7/1/1995,157700
8/1/1995,158766.6667
9/1/1995,159833.3333
10/1/1995,160900
11/1/1995,160966.6667
12/1/1995,161033.3333
1/1/1996,161100
2/1/1996,162733.3333
3/1/1996,164366.6667
4/1/1996,166000
5/1/1996,165333.3333
6/1/1996,164666.6667
7/1/1996,164000
8/1/1996,166333.3333
9/1/1996,168666.6667
10/1/1996,171000
11/1/1996,171400
12/1/1996,171800
1/1/1997,172200
2/1/1997,173866.6667
3/1/1997,175533.3333
4/1/1997,177200
5/1/1997,176366.6667
6/1/1997,175533.3333
7/1/1997,174700
8/1/1997,174933.3333
9/1/1997,175166.6667
10/1/1997,175400
11/1/1997,176933.3333
12/1/1997,178466.6667
1/1/1998,180000
2/1/1998,179600
3/1/1998,179200
4/1/1998,178800
5/1/1998,180633.3333
6/1/1998,182466.6667
7/1/1998,184300
8/1/1998,183366.6667
9/1/1998,182433.3333
10/1/1998,181500
11/1/1998,184033.3333
12/1/1998,186566.6667
1/1/1999,189100
2/1/1999,190000
3/1/1999,190900
4/1/1999,191800
5/1/1999,192200
6/1/1999,192600
7/1/1999,193000
8/1/1999,196933.3333
9/1/1999,200866.6667
10/1/1999,204800
11/1/1999,204166.6667
12/1/1999,203533.3333
1/1/2000,202900
2/1/2000,202733.3333
3/1/2000,202566.6667
4/1/2000,202400
5/1/2000,202966.6667
6/1/2000,203533.3333
7/1/2000,204100
8/1/2000,206766.6667
9/1/2000,209433.3333
10/1/2000,212100
11/1/2000,211733.3333
12/1/2000,211366.6667
1/1/2001,211000
2/1/2001,211066.6667
3/1/2001,211133.3333
4/1/2001,211200
5/1/2001,210066.6667
6/1/2001,208933.3333
7/1/2001,207800
8/1/2001,209933.3333
9/1/2001,212066.6667
10/1/2001,214200
11/1/2001,218666.6667
12/1/2001,223133.3333
1/1/2002,227600
2/1/2002,227600
3/1/2002,227600
4/1/2002,227600
5/1/2002,224766.6667
6/1/2002,221933.3333
7/1/2002,219100
8/1/2002,223566.6667
9/1/2002,228033.3333
10/1/2002,232500
11/1/2002,232700
12/1/2002,232900
1/1/2003,233100
2/1/2003,235733.3333
3/1/2003,238366.6667
4/1/2003,241000
5/1/2003,243366.6667
6/1/2003,245733.3333
7/1/2003,248100
8/1/2003,250733.3333
9/1/2003,253366.6667
10/1/2003,256000
11/1/2003,258300
12/1/2003,260600
1/1/2004,262900
2/1/2004,263700
3/1/2004,264500
4/1/2004,265300
5/1/2004,268200
6/1/2004,271100
7/1/2004,274000
8/1/2004,278100
9/1/2004,282200
10/1/2004,286300
11/1/2004,287033.3333
12/1/2004,287766.6667
1/1/2005,288500
2/1/2005,288266.6667
3/1/2005,288033.3333
4/1/2005,287800
5/1/2005,290066.6667
6/1/2005,292333.3333
7/1/2005,294600
8/1/2005,294466.6667
9/1/2005,294333.3333
10/1/2005,294200
11/1/2005,297900
12/1/2005,301600
1/1/2006,305300
2/1/2006,304400
3/1/2006,303500
4/1/2006,302600
5/1/2006,304433.3333
6/1/2006,306266.6667
7/1/2006,308100
8/1/2006,305266.6667
9/1/2006,302433.3333
10/1/2006,299600
11/1/2006,307100
12/1/2006,314600
1/1/2007,322100
2/1/2007,318100
3/1/2007,314100
4/1/2007,310100
5/1/2007,307133.3333
6/1/2007,304166.6667
7/1/2007,301200
8/1/2007,302733.3333
9/1/2007,304266.6667
10/1/2007,305800
11/1/2007,300666.6667
12/1/2007,295533.3333
1/1/2008,290400
2/1/2008,295000
3/1/2008,299600
4/1/2008,304200
5/1/2008,297833.3333
6/1/2008,291466.6667
7/1/2008,285100
8/1/2008,282266.6667
9/1/2008,279433.3333
10/1/2008,276600
11/1/2008,270066.6667
12/1/2008,263533.3333
1/1/2009,257000
2/1/2009,262466.6667
3/1/2009,267933.3333
4/1/2009,273400
5/1/2009,273633.3333
6/1/2009,273866.6667
7/1/2009,274100
8/1/2009,273700
9/1/2009,273300
10/1/2009,272900
11/1/2009,273700
12/1/2009,274500
1/1/2010,275300
2/1/2010,273133.3333
3/1/2010,270966.6667
4/1/2010,268800
5/1/2010,267866.6667
6/1/2010,266933.3333
7/1/2010,266000
8/1/2010,270000
9/1/2010,274000
10/1/2010,278000
11/1/2010,274700
12/1/2010,271400
1/1/2011,268100
2/1/2011,267933.3333
3/1/2011,267766.6667
4/1/2011,267600
5/1/2011,266066.6667
6/1/2011,264533.3333
7/1/2011,263000
8/1/2011,261900
9/1/2011,260800
10/1/2011,259700
11/1/2011,265800
12/1/2011,271900
1/1/2012,278000
2/1/2012,279566.6667
3/1/2012,281133.3333
4/1/2012,282700
5/1/2012,286633.3333
6/1/2012,290566.6667
7/1/2012,294500
8/1/2012,295566.6667
9/1/2012,296633.3333
10/1/2012,297700
11/1/2012,300933.3333
12/1/2012,304166.6667
1/1/2013,307400
2/1/2013,311733.3333
3/1/2013,316066.6667
4/1/2013,320400
5/1/2013,321733.3333
6/1/2013,323066.6667
7/1/2013,324400
8/1/2013,327733.3333
9/1/2013,331066.6667
10/1/2013,334400
11/1/2013,333400
12/1/2013,332400
1/1/2014,331400
2/1/2014,334466.6667
3/1/2014,337533.3333
4/1/2014,340600
5/1/2014,340533.3333
6/1/2014,340466.6667
7/1/2014,340400
8/1/2014,350066.6667
9/1/2014,359733.3333
10/1/2014,369400
11/1/2014,362266.6667
12/1/2014,355133.3333
1/1/2015,348000
2/1/2015,345233.3333
3/1/2015,342466.6667
4/1/2015,339700
5/1/2015,342266.6667
6/1/2015,344833.3333
7/1/2015,347400
8/1/2015,353833.3333
9/1/2015,360266.6667
10/1/2015,366700
11/1/2015,363466.6667
12/1/2015,360233.3333
1/1/2016,357000
2/1/2016,357300
3/1/2016,357600
4/1/2016,357900
5/1/2016,358200
6/1/2016,358500
7/1/2016,358800
8/1/2016,360833.3333
9/1/2016,362866.6667
10/1/2016,364900
11/1/2016,368200
12/1/2016,371500
1/1/2017,374800
2/1/2017,375500
3/1/2017,376200
4/1/2017,376900
5/1/2017,375666.6667
6/1/2017,374433.3333
7/1/2017,373200
8/1/2017,382033.3333
9/1/2017,390866.6667
10/1/2017,399700
11/1/2017,391333.3333
12/1/2017,382966.6667
1/1/2018,374600
2/1/2018,375866.6667
3/1/2018,377133.3333
4/1/2018,378400
5/1/2018,383233.3333
6/1/2018,388066.6667
7/1/2018,392900
8/1/2018,388233.3333
9/1/2018,383566.6667
10/1/2018,378900
11/1/2018,378900
12/1/2018,378900
